source_symbol	cpu_mapping	status
GGML_OP_ACC	accumulate	mapped
GGML_OP_ADD	add	mapped
GGML_OP_ADD1	add_scalar	mapped
GGML_OP_ADD_ID	add_id	mapped
GGML_OP_ADD_REL_POS	add_relative_position_2d	mapped
GGML_OP_ARANGE	arange	mapped
GGML_OP_ARGMAX	argmax_sample	mapped
GGML_OP_ARGSORT	argsort	mapped
GGML_OP_CLAMP	clamp	mapped
GGML_OP_COL2IM_1D	col2im_1d	mapped
GGML_OP_CONCAT	concat	mapped
GGML_OP_CONT	contiguous_copy	adapter
GGML_OP_CONV_2D	conv2d	mapped
GGML_OP_CONV_2D_DW	depthwise_conv2d	mapped
GGML_OP_CONV_3D	conv3d	mapped
GGML_OP_CONV_TRANSPOSE_1D	conv_transpose_1d	mapped
GGML_OP_CONV_TRANSPOSE_2D	conv_transpose_2d	mapped
GGML_OP_COS	cosine	mapped
GGML_OP_COUNT	-	non_kernel
GGML_OP_COUNT_EQUAL	count_equal	mapped
GGML_OP_CPY	contiguous_copy	adapter
GGML_OP_CROSS_ENTROPY_LOSS	cross_entropy	mapped
GGML_OP_CROSS_ENTROPY_LOSS_BACK	cross_entropy_backward	mapped
GGML_OP_CUMSUM	cumulative_sum	mapped
GGML_OP_CUSTOM	external_callback	non_kernel
GGML_OP_DIAG	diag_embed	mapped
GGML_OP_DIAG_MASK_INF	diag_mask	mapped
GGML_OP_DIAG_MASK_ZERO	diag_mask	mapped
GGML_OP_DIV	divide	mapped
GGML_OP_DSV4_HC_COMB	dsv4_hc_comb	mapped
GGML_OP_DSV4_HC_POST	dsv4_hc_post	mapped
GGML_OP_DSV4_HC_PRE	dsv4_hc_pre	mapped
GGML_OP_DUP	contiguous_copy	adapter
GGML_OP_FILL	fill	mapped
GGML_OP_FLASH_ATTN_BACK	attention_backward	mapped
GGML_OP_FLASH_ATTN_EXT	attention_with_lse	mapped
GGML_OP_GATED_DELTA_NET	gdn_recurrence	mapped
GGML_OP_GATED_LINEAR_ATTN	gated_linear_attention	mapped
GGML_OP_GET_REL_POS	get_relative_position	mapped
GGML_OP_GET_ROWS	embedding_lookup	mapped
GGML_OP_GET_ROWS_BACK	embedding_backward	mapped
GGML_OP_GLU	glu/swiglu_oai	mapped
GGML_OP_GROUP_NORM	group_norm	mapped
GGML_OP_IM2COL	im2col_2d	mapped
GGML_OP_IM2COL_3D	im2col_3d	mapped
GGML_OP_IM2COL_BACK	col2im_2d	mapped
GGML_OP_L2_NORM	l2_normalize	mapped
GGML_OP_LEAKY_RELU	leaky_relu	mapped
GGML_OP_LIGHTNING_INDEXER	indexer_k_gather	mapped
GGML_OP_LOG	logarithm	mapped
GGML_OP_MAP_CUSTOM1	external_callback	non_kernel
GGML_OP_MAP_CUSTOM2	external_callback	non_kernel
GGML_OP_MAP_CUSTOM3	external_callback	non_kernel
GGML_OP_MEAN	reduce_mean	mapped
GGML_OP_MUL	multiply	mapped
GGML_OP_MUL_MAT	dense_gemm/qgemm	mapped
GGML_OP_MUL_MAT_ID	moe_grouped_gemm	mapped
GGML_OP_NONE	-	non_kernel
GGML_OP_NORM	layer_norm	mapped
GGML_OP_OPT_STEP_ADAMW	adamw	mapped
GGML_OP_OPT_STEP_SGD	sgd	mapped
GGML_OP_OUT_PROD	outer_product	mapped
GGML_OP_PAD	pad_2d	mapped
GGML_OP_PAD_REFLECT_1D	pad_reflect_1d	mapped
GGML_OP_PERMUTE	strided_permute	adapter
GGML_OP_POOL_1D	pool1d	mapped
GGML_OP_POOL_2D	pool2d	mapped
GGML_OP_POOL_2D_BACK	pool2d_backward	mapped
GGML_OP_POOL_AVG	-	non_kernel
GGML_OP_POOL_COUNT	-	non_kernel
GGML_OP_POOL_MAX	-	non_kernel
GGML_OP_REPEAT	repeat_2d	mapped
GGML_OP_REPEAT_BACK	repeat_backward_2d	mapped
GGML_OP_RESHAPE	validated_view	adapter
GGML_OP_RMS_NORM	rms_norm	mapped
GGML_OP_RMS_NORM_BACK	rms_norm_backward	mapped
GGML_OP_ROLL	roll_2d	mapped
GGML_OP_ROPE	rope	mapped
GGML_OP_ROPE_BACK	rope_backward	mapped
GGML_OP_RWKV_WKV6	rwkv_wkv6	mapped
GGML_OP_RWKV_WKV7	rwkv_wkv7	mapped
GGML_OP_SCALE	scale	mapped
GGML_OP_SET	tensor_set_4d	mapped
GGML_OP_SET_ROWS	set_rows	mapped
GGML_OP_SILU_BACK	silu_backward	mapped
GGML_OP_SIN	sine	mapped
GGML_OP_SOFT_MAX	softmax	mapped
GGML_OP_SOFT_MAX_BACK	softmax_backward	mapped
GGML_OP_SOLVE_TRI	solve_lower_triangular	mapped
GGML_OP_SQR	square	mapped
GGML_OP_SQRT	square_root	mapped
GGML_OP_SSM_CONV	fft_convolution	mapped
GGML_OP_SSM_SCAN	selective_scan	mapped
GGML_OP_SUB	subtract	mapped
GGML_OP_SUM	reduce_sum_all	mapped
GGML_OP_SUM_ROWS	reduce_sum	mapped
GGML_OP_TIMESTEP_EMBEDDING	timestep_embedding	mapped
GGML_OP_TOP_K	threshold_topk_indices	mapped
GGML_OP_TRANSPOSE	strided_transpose	adapter
GGML_OP_TRI	triangular_fill	mapped
GGML_OP_UNARY	unary	mapped
GGML_OP_UPSCALE	upscale_nearest_2d	mapped
GGML_OP_VIEW	validated_view	adapter
GGML_OP_WIN_PART	window_partition	mapped
GGML_OP_WIN_UNPART	window_unpartition	mapped
