format	role	pack	unpack	gemv_f32	activation_dot	qgemm	neon	avx2	avx512
Q1_0	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q2_0	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q4_0	stored	mapped	mapped	mapped	mapped	optimized	optimized	optimized	reference
Q4_1	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q5_0	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q5_1	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q8_0	stored	mapped	mapped	mapped	mapped	optimized	optimized	reference	reference
Q2_K	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q3_K	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q4_K	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q5_K	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q6_K	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ2_XXS	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ2_XS	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ3_XXS	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ3_S	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ2_S	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ1_S	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ1_M	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ4_NL	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
IQ4_XS	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
TQ1_0	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
TQ2_0	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
MXFP4	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
NVFP4	stored	mapped	mapped	mapped	reference	reference	optimized	reference	reference
Q8_1	activation	mapped	mapped	internal	reference	internal	reference	reference	reference
Q8_K	activation	mapped	mapped	internal	reference	internal	reference	reference	reference
