source_symbol	cpu_mapping	status
GGML_UNARY_OP_ABS	unary	mapped
GGML_UNARY_OP_SGN	unary	mapped
GGML_UNARY_OP_NEG	unary	mapped
GGML_UNARY_OP_STEP	unary	mapped
GGML_UNARY_OP_TANH	unary	mapped
GGML_UNARY_OP_ELU	unary	mapped
GGML_UNARY_OP_RELU	unary	mapped
GGML_UNARY_OP_SIGMOID	unary	mapped
GGML_UNARY_OP_GELU	unary	mapped
GGML_UNARY_OP_GELU_QUICK	unary	mapped
GGML_UNARY_OP_SILU	unary	mapped
GGML_UNARY_OP_HARDSWISH	unary	mapped
GGML_UNARY_OP_HARDSIGMOID	unary	mapped
GGML_UNARY_OP_EXP	unary	mapped
GGML_UNARY_OP_EXPM1	unary	mapped
GGML_UNARY_OP_SOFTPLUS	unary	mapped
GGML_UNARY_OP_GELU_ERF	unary	mapped
GGML_UNARY_OP_XIELU	unary	mapped
GGML_UNARY_OP_FLOOR	unary	mapped
GGML_UNARY_OP_CEIL	unary	mapped
GGML_UNARY_OP_ROUND	unary	mapped
GGML_UNARY_OP_TRUNC	unary	mapped
GGML_UNARY_OP_COUNT	-	non_kernel
